path,gsc_clicks,external_backlinks,evidence_window,brand_conflict,action,destination,reviewer,reviewed_at
/guardian-quiz,not_available,not_available,not_available,true,keep,/guardian-quiz,pending,not_available
/pearls/stories,not_available,not_available,not_available,true,keep,/pearls/stories,pending,not_available
/pearls/symbolism,not_available,not_available,not_available,true,keep,/pearls/symbolism,pending,not_available
/blog/crystal-intentions-101,not_available,not_available,not_available,true,keep,/blog/crystal-intentions-101,pending,not_available
/blog/morning-ritual-crystal-bracelet,not_available,not_available,not_available,true,keep,/blog/morning-ritual-crystal-bracelet,pending,not_available
/blog/black-obsidian-protection-stone,not_available,not_available,not_available,true,keep,/blog/black-obsidian-protection-stone,pending,not_available
/blog/stacking-intention-bracelets,not_available,not_available,not_available,true,keep,/blog/stacking-intention-bracelets,pending,not_available
/blog/rose-quartz-self-love,not_available,not_available,not_available,true,keep,/blog/rose-quartz-self-love,pending,not_available
/blog/amethyst-benefits-sleep-intuition,not_available,not_available,not_available,true,keep,/blog/amethyst-benefits-sleep-intuition,pending,not_available
/blog/how-to-cleanse-crystal-bracelet,not_available,not_available,not_available,true,keep,/blog/how-to-cleanse-crystal-bracelet,pending,not_available
